Qvector_A	Intensity	Uncertainty
0.0001052489287183285	101442379.8312532	1287494.286989616
0.000113570562605879	57168013.17522309	4619336.642908057
0.0001177502627065059	45354052.50030652	9987745.956586462
0.0001219411153876846	37479324.10540364	12833428.3506142
0.0001261430105401712	31325946.11589824	9726521.702878041
0.0001303558432282439	27205941.70770368	4265579.84259651
0.0001345795132937699	22567651.07388339	1204278.805412922
0.0001388139250018457	20165139.44538462	539788.3263605169
0.0001430589867247109	17402736.11639267	485958.8700868773
0.000147314610654367	15689963.78908723	443950.5118382127
0.0001515807125448908	14421072.5267209	407049.0302170551
0.0001558572114768546	13177619.68086459	367276.3446004161
0.0001601440296455022	11797960.78089362	323921.2818708677
0.0001665947095300541	10610401.7854886	289287.7648847087
0.0001730656642682309	9456600.182111623	272643.24561504
0.0001773930371549882	8868490.986783631	265098.3101390637
0.0001817303807146914	8091269.823934196	251939.3859190285
0.0001860776322738167	7763997.920430328	230410.5416398644
0.0001926181750244086	7049710.539560783	210786.4793801871
0.0001991782383228431	6333494.59098352	200952.1355655746
0.0002035645345671146	6084522.158714545	193473.5246874259
0.0002079604541413872	5676834.711296306	179641.8304376089
0.0002145734512909576	5253573.852840679	166190.5475893794
0.0002212054418025152	4808570.751914209	161213.0022468586
0.0002256393509075955	4619756.395616919	158427.6057051152
0.0002300826384704419	4461886.082446224	150300.4256245703
0.0002367662148795549	4169615.077802598	141372.5572888036
0.0002434683280414718	3924878.613461546	136555.0556722929
0.0002479486913525556	3803640.754967878	131872.3044281319
0.0002546875466416405	3597981.855342768	124759.3080238884
0.0002614446145303681	3445311.182497908	118277.6932497943
0.0002682243065457924	3251290.649749076	113677.8107889626
0.0002750219883292136	3078463.494444377	110063.1433250626
0.0002818420254850889	2929998.843946549	108147.8630892285
0.0002886798448283172	2786294.626550636	107592.0077437275
0.00029325019089796	2673194.587094302	105105.6242729703
0.0003001233138819304	2496590.71071286	99197.43347524427
0.0003070139632542626	2445532.710481644	91767.70630183672
0.000313926407804767	2276569.115802418	85236.5588217359
0.0003231718910999897	2133314.68695783	81752.87861337478
0.0003301275659620373	2037415.105719916	81286.96234234067
0.0003371046840158427	1945325.11158635	81191.89359083059
0.0003440988774509439	1873404.370006976	79929.55702082728
0.0003511143191889495	1788317.870866423	77583.08268588748
0.0003581466848632899	1713957.143666044	74000.31355229868
0.0003652001148545161	1651870.036906267	70184.53449037818
0.0003746326371077918	1568587.049546587	68181.71960620381
0.0003817279050707578	1509279.799456316	66817.46399212518
0.0003888439524624328	1456778.081968923	63529.91528609917
0.0003983595964685645	1376301.108767238	60560.73041984816
0.0004079081919587753	1296637.460049983	60772.24646276991
0.0004150901447677833	1296218.788556322	60973.89579023139
0.0004222925179181938	1198596.311389787	57550.26331997012
0.0004319227981282255	1139102.489385027	52961.00514981245
0.0004415854880578976	1084152.06215656	51460.47429766301
0.0004512804439113404	1018168.755020656	52951.57830203193
0.0004585717505682066	1018585.362913483	53428.92885380704
0.0004658830726649567	939067.4264434435	50440.02978087198
0.0004756580929702776	900151.0404568171	46096.77071693078
0.0004854649096910175	848619.6932133352	43165.64446919096
0.0004953033975398451	799982.2957871273	41611.71142245191
0.0005051734348492453	758418.6025056156	40384.40225417321
0.0005150749034154548	722464.2686370632	39212.09371214924
0.0005250076883526271	690759.0964537708	38159.14490782595
0.0005349716779535969	671692.4036378488	37065.14852428106
0.0005449667635598805	606850.525527637	35399.77887523419
0.0005549928394400932	573391.6763360938	31923.32603085155
0.000565049802672488	534604.5613131137	25614.88298014744
0.0005979461027227159	464048.7585100302	18082.06189869613
0.0006030358735047547	460627.9368255867	12616.56749175041
0.0006081332526464092	450921.5716284713	10128.66152474191
0.0006132382289886427	436042.4363266323	8901.277286569613
0.0006209108604221137	417149.77998656	7708.845424981668
0.0006311662598450431	396282.2113013474	6635.037591322699
0.0006414518541191306	375036.7556362376	5895.097352721365
0.0006543527453940363	353658.1970501816	5446.150665203453
0.0006672974029130428	330508.0723620577	5166.214246572432
0.000677688038899168	315063.3358500313	4907.583252412594
0.0006907198322256766	295392.5327073136	4633.96951919142
0.0007037950021245864	274156.4807268704	4401.519141084129
0.0007142897443103548	262374.4591010775	4178.97319623781
0.0007274513014815581	244188.6434460461	3929.790197154222
0.000740655875604927	233492.2612353718	3696.634729165224
0.0007539094728635353	218002.5013497145	3494.340770092775
0.0007672058468190773	203693.6224408007	3299.948179622804
0.0007805509767135963	189475.8698975176	3112.495057843591
0.0007939386557342936	177514.3251447777	2942.316721378348
0.0008073748374595055	166921.4093226901	2782.164889348429
0.0008208533525134773	155702.9409651593	2609.652428942204
0.0008343801300086997	146978.6770824623	2432.80791814563
0.0008506700256394078	136121.6515231036	2290.946367448298
0.000864292961845078	126461.0703057316	2177.79303599815
0.0008779638008509118	121674.2407749633	2060.057947642594
0.0008944261505591063	111007.9579257116	1948.013993132574
0.000908192457370267	103012.9921762318	1841.323367306833
0.0009220063350495309	96785.65131376639	1709.382782593155
0.0009386399434776585	90243.07314659315	1564.953479320501
0.0009553374843625268	83056.12044081304	1443.747495847508
0.0009720988067269103	77194.71685704931	1348.07207673764
0.0009889237638380937	70603.6920270605	1265.533925614197
0.001005812213053677	65801.7521285691	1190.836001099702
0.001022764015674641	60507.43452646222	1121.42861769999
0.001039779036806879	56724.91211002099	1056.671647299626
0.001056857145228564	51908.99071598538	997.2550514837363
0.001073998213263994	49377.12835955496	942.1041813835433
0.001091202116663386	45831.05369827695	890.0789629204453
0.001108468734488606	42205.61295823121	842.651479780912
0.001125797949001865	39467.08718208445	799.4626843510631
0.00114318964556388	36996.09106660472	754.3275880973856
0.001160643712532906	34966.22881543111	705.0001363181907
0.001181087488749675	32796.80316139581	661.235697376657
0.001201611814807885	30229.94951835559	628.7690601627012
0.001219273013420004	28819.16322240259	599.755259817989
