Qvector_A	Intensity	Uncertainty
0.0001078741546988643	204880882.7798185	1475731.099239204
0.0001245919700743319	104114547.3969819	6097933.925246203
0.0001393870726076455	72413131.13025574	13868242.00035453
0.0001564510751472307	53206094.36341357	18042637.48173545
0.0001736796659470574	41328051.83756578	13545406.38225389
0.0001910683688503708	33218922.30208496	5615306.034720106
0.0002108207803076018	26960010.9022202	1197220.295705606
0.0002307589184733172	22227240.69870363	282146.0101308768
0.0002486433418583723	19000411.83832384	250679.7359466421
0.0002666741176768527	16288651.22252224	224568.7621446665
0.0002848488353631922	13958286.04496679	201227.9420276288
0.0003031653022971617	12085455.36337467	180610.4564850493
0.0003216215137784706	10393521.56484861	162526.0006125042
0.0003402156285263621	9008159.569954518	146920.464705634
0.000358945948460149	7816739.428916919	133576.3950477372
0.0003778109018351161	6822487.541728115	121740.1309698806
0.0003968090290495664	6006964.536755787	110487.891195578
0.0004159389706004622	5227164.590931782	99569.78881457546
0.0004376191647026958	4532968.282849204	90001.98007141444
0.0004594568389457792	3877958.974292894	82690.47677659258
0.000479006815019981	3383484.546075899	76732.44163707315
0.0004986837298839118	2936684.231730952	70454.35172076069
0.000518486609573442	2610986.137774051	63478.80555771317
0.000540917181252987	2191723.485273959	56940.28749198894
0.0005634989647331628	1878908.03667958	51819.55201005883
0.0005837051308759621	1620451.808660388	47604.66721975592
0.0006040336781551966	1422616.895944283	43375.59823554478
0.0006270514993404428	1217744.815006828	39292.12380158911
0.0006502166278648015	1053696.34465426	35807.44580665546
0.000670938034595818	916848.1609081222	32733.64158458847
0.0006943952138750082	814643.762924786	29927.65207701191
0.0007179972206430465	702344.8005836697	27507.63698375307
0.0007391048660028016	627029.5067327465	25327.08486064009
0.0007629943221811135	554776.2929249858	23256.15351639503
0.0007870264683382339	491969.6858282063	21411.14267714126
0.000811211557171164	439538.4149835453	19623.93017775742
0.0008355380229252676	392443.6577012347	17227.29952582721
0.0008666053114157113	348420.1952852756	13760.4407059958
0.0009093957934974501	311054.6171791547	9804.708004391152
0.0009176841230553609	299588.6141468134	6535.06564159555
0.0009343106179033433	284193.6301848558	4508.773882953452
0.0009593675468811548	259901.3302637496	3488.139757289864
0.0009873737806248718	237700.742354142	3038.544452604617
0.00101272756830538	220215.9033051524	2822.815969890276
0.001038229023609816	202905.0545913104	2647.004858048573
0.001063867169151007	186965.5782905662	2453.587118856
0.001089652075848984	172601.4316093787	2255.049336768581
0.001118464540894809	158381.6090612573	2087.443043149011
0.001147450674266677	147217.467172375	1966.380282248532
0.001173683662421425	136031.6125102916	1856.680612790689
0.001200061722463803	126684.5572015859	1725.204701780077
0.001229531446786044	116836.9180453005	1587.668713726562
0.001259172989212974	107112.5898090075	1471.786007491677
0.001288985911176255	98779.14714678204	1383.884536746154
0.001318969792344278	90724.20544311126	1315.219450085363
0.001346098569027374	84665.57683983355	1245.379227052463
0.001373370319959062	78708.11234203033	1159.142810953214
0.001403830795456261	72079.29954741905	1067.26129727222
0.001434460784521994	66364.77529857737	987.1051210739944
0.001465259943164975	61023.81406153062	920.3475598778712
0.001496227941284228	56423.76613434637	860.9009958063112
0.001527364462068855	52327.2185056392	802.9144216374406
0.001558669201431848	48650.8760137819	744.7179404999656
0.001593301432158915	44202.95594858082	694.7100691136978
0.001628130336212764	41322.90627484258	660.3912171211316
0.001659971470384705	38914.81891185311	635.0016928260901
0.001691979673418006	36168.04986207503	607.7557107743038
0.001724154699446312	33873.70224987293	575.9209415294356
0.00175649631246549	32110.40419029438	542.4733838193192
0.001792267270237642	30024.12006536449	512.8705519322834
0.00182823314451193	28277.6042584747	489.2958313673801
0.001861106358192356	26680.3557080443	467.4232026343084
0.001897461297843212	25006.17409897728	445.5516952135878
0.001934010408339497	23406.04758980343	425.7429243066481
0.0019674131879447	21968.56555590971	406.0514708068044
0.002004349968598573	20793.06879684803	384.5230038347616
0.002041480268151458	19217.11370089568	363.474911879522
0.002078815964547794	17915.04826736973	344.7790077117218
0.002116344780743338	16877.90378515222	328.388427398874
0.002154078589590921	15865.22894904368	313.5255940106304
0.002192005155839873	14761.87493683683	298.6189001676065
0.002230136348141636	14024.64432037569	283.8026823377442
0.002271957047244996	13048.42606518611	271.2829384181296
0.002310496975426137	12386.8609211498	260.3813481783973
0.002349241031071256	11635.29822924986	248.4978238246081
0.002391729793139124	10979.22416343687	237.1401373653667
0.002434453999125433	10385.04585459615	228.7548715489074
0.002473821552940226	9744.894922275405	220.9012838103288
0.002513392677819218	9217.931239558869	210.5010177859866
0.002556783124602903	8633.546165390049	198.9348233651494
0.002600408444124181	8076.299241366675	188.8761084461264
0.002644268509345947	7639.069694438129	180.6924554195286
0.002688363201725279	7152.515032377153	173.6650792680429
0.002732692410931886	6777.204119263115	167.411273807282
0.002777256034574582	6374.034274145065	161.6727456366172
0.002822053977945247	6095.929227998952	156.1985396726899
0.002867086153772256	5750.433237731563	150.789041549925
0.002912352481983847	5421.779626400929	145.3058934129416
0.00295785288948118	5115.665820775963	139.636407815423
0.003003587309921448	4854.521654254501	133.4531488871085
0.003049555683512217	4564.789140404114	126.7488770918493
0.003099622221246146	4269.953345084864	120.7451039176507
0.003149956169477124	4014.394747493101	116.5045287136307
0.00319666507121603	3809.341692176051	112.9799241718648
0.003243607743187094	3621.257334171065	108.6235087427022
0.003294729590800143	3409.674729179359	103.6924181546946
0.003346118697131978	3221.579017411026	99.38273554405356
0.003397789105553051	2998.687300857963	96.22634759251335
0.003449726735980279	2905.241997062352	93.55568070533464
0.003497915823056819	2735.591278048935	90.09980145578535
0.003550387879231249	2609.013175849013	85.93415779464854
0.003607199164501458	2441.890910672542	82.44950024878682
0.003660233791803049	2339.093409953377	79.91669872035209
0.003713549727887132	2198.669876810692	77.39416847723268
0.003767132929427565	2075.744239822141	74.39986546393851
0.003820997492256581	1957.261279120811	71.21869794737022
0.003879308526613376	1871.066994801737	68.55120823931787
0.003937937804674356	1767.384382955812	66.75241148531323
0.003992660765201084	1694.792522078756	65.1185887244485
0.004047665267474008	1610.835202317688	62.82753712863101
0.004107204147881847	1549.977371853887	60.05746826805357
0.004167061527012115	1418.625568633042	57.43837361925549
0.004227237486692664	1372.197856654744	55.24121796309728
0.004287732114861839	1270.740213450653	53.42867727953126
0.004348545505397484	1232.890264199962	51.87116477797647
0.00440967775795186	1156.666635680222	50.37046339046403
0.004471128977790224	1120.892549871867	48.68659658991642
0.004532899275638712	1054.620448375133	46.78741407496047
0.004599440021479723	1009.185342149295	45.05075286770602
0.004666339192426198	938.1397208655263	43.71672585254655
0.004729113086176559	906.0152153280051	42.37679185679876
0.004792206571693404	840.9683646201356	40.76151016840554
0.004860165619136113	792.8071401125176	39.3604494079685
0.004928483715432986	781.7517461256946	38.45726282828713
0.004992582542765593	745.1807532870291	37.55765636786732
0.005061619257744136	715.1051906380421	35.99506561323609
0.005131015553178196	681.4500993933754	32.9031451127721
0.005214871749561866	629.5335677074286	27.49045151301665
0.005355557286822067	508.5055621297942	20.50399663568727
0.005369718038205859	553.107620981968	14.05909652673212
0.005417040713561658	525.0356107046855	9.667729711885483
0.005488303403632626	538.2655388145025	7.389060385572764
0.005559943316937492	500.7418791216941	6.430251027708833
0.00563676185129282	475.4863207547887	5.996285860105244
0.005714000790026728	442.2244490474917	5.713608267784686
0.005786790251290079	424.7564484558375	5.46250650082051
0.005859957922631611	402.4673566988457	5.19127961483565
0.005938407138535854	374.5946358456386	4.935630327465737
0.006017277899128225	367.7170260138308	4.73880988684166
0.0060965705116008	359.0958878372363	4.56669611102106
0.006176285288177963	333.587147228302	4.374729525961795
0.006256422545988215	317.7496478770267	4.166725781415526
0.006336982606940409	302.3356685411238	3.968783551903876
0.00642304599074826	295.017486097548	3.801302863326376
0.006509578071771926	277.1242731479367	3.660899424118411
0.006591461517969556	263.1061540276869	3.519362810577195
0.006673769143171296	244.982622985196	3.365122881215785
0.006761690857325273	246.2918473212698	3.217067219679
0.006850082832075695	227.3883799008186	3.084100835368584
0.006938964309672546	222.980422507491	2.955417457925503
0.007028316883109474	203.0852619196433	2.829590956079064
0.007118159838040053	197.1639071992521	2.718641544589941
0.007208474743033793	189.7424726075762	2.628319688692218
0.007299280927411639	180.039425853889	2.541548775742883
0.007390559934119197	185.5086691548069	2.424747598060229
