Qvector_A	Intensity	Uncertainty
0.0001017102008990565	66259914.4116625	1168018.511564888
0.0001100088806896495	49648713.24759264	4597823.251186391
0.0001141773124845029	44467508.9827433	10285311.38019424
0.0001183570125851291	39209282.60119552	13360581.26037336
0.0001225478652663071	36617080.44991285	10159639.43866943
0.0001267497604187931	34109638.83893906	4461712.480994362
0.0001309625931068651	31429112.70880688	1277777.675991069
0.0001351862631723902	29146044.14344645	607122.4360765412
0.0001394206748804653	27147795.93626234	570067.3662263374
0.0001436657366033298	25220638.17391236	539055.2105275196
0.000147921360532985	23629225.34196816	509565.8050418052
0.000152187462423508	22619733.6681525	474202.2721549324
0.0001564639613554709	21458213.3251703	433127.739722697
0.0001628993107842419	20066729.91077528	401869.0728274331
0.0001693550767729698	18838577.88044845	392634.5452723223
0.0001736724141468434	18111185.31148275	393415.4386988831
0.0001779997870335996	17384332.9919596	382502.3843204031
0.0001823371305933019	16712659.1808165	356221.9931642319
0.000188862931620238	15748779.07099785	332693.0554590276
0.0001954083687179824	14844987.89458509	325082.4133817068
0.0001997849882014491	14231363.80789014	320270.8705806629
0.0002041712844457194	13754368.04627226	303287.9182480137
0.0002107699495472713	12862694.02911031	285078.7771783397
0.0002173877072645667	12091021.42613869	279405.8839901368
0.000221812191681115	11753844.74986223	276204.6513279862
0.0002262461007861939	11305089.61315739	263115.4786030551
0.000232915698869536	10671834.35998887	248460.8744011348
0.0002396039201262665	10133317.453536	240968.2001356928
0.0002440750779200646	9836381.296143541	232978.5306668671
0.0002508002054019455	9417663.879524209	219325.189431215
0.0002575436234677151	8894292.255712673	206500.1991592693
0.0002643097596153671	8429240.775476817	198302.8447010419
0.0002710939580269738	8059694.998633932	193260.9151410107
0.0002779005992927187	7624186.049033658	192037.648084055
0.0002847250903496945	7230857.245470528	193041.4586137378
0.000289286594706894	7155135.638931521	189329.8850021933
0.0002961465186892124	6597473.436675764	178627.4728369731
0.0003030240309191151	6458405.341908352	165178.7177876842
0.0003099234132127673	6042302.156169241	153131.0918387553
0.0003191515764148071	5632691.271757997	146235.64960055
0.0003260943312014545	5402565.918995804	144601.3738783918
0.0003330585967452995	5141261.766112654	143392.7034910862
0.0003400399901387961	4912443.768869146	140140.9653459569
0.0003470426955371575	4631873.106151704	135274.9848110451
0.0003540623743901807	4397430.004401935	128097.7948148627
0.0003611031777367629	4184019.250597893	119951.1282398932
0.0003705189421448748	3860350.501972095	114623.4456333639
0.0003776016984173398	3661638.167858993	110637.5520360409
0.0003847052890626053	3487564.065240019	103711.5203810061
0.0003942043951142642	3222604.010832584	96894.33079384483
0.0004037365353635016	3010007.152822556	94701.67510536166
0.0004109061969192522	2869849.982818003	93196.99189923622
0.0004180963275461663	2700116.01965224	87420.82120119315
0.0004277103475193942	2511489.026252372	80141.78706034549
0.0004373568508508167	2348720.017459143	76723.03052107873
0.0004470356914333066	2161704.023261072	77308.93831963194
0.0004543149550062839	2063712.579186219	76854.64269601682
0.0004616142762292125	1947104.948067134	71994.18437202316
0.0004713733501678597	1806535.724136411	65316.1463275135
0.000481164284574452	1685925.721099082	60408.27891489159
0.000490986952290051	1568828.969483956	57250.68905060846
0.0005008412298575252	1454745.590371465	54635.58035913178
0.000510726997360207	1347210.84614372	52297.65734173634
0.0005206441382707785	1258372.379677213	50043.81874021173
0.0005305925393097262	1174385.577744208	47579.11014928855
0.0005405720903098976	1070849.495940166	45070.73863830828
0.0005505826840912888	1000696.75304913	42821.0083222729
0.0005606242163416037	933456.6520837179	40785.96096956266
0.0005706965855025892	861854.0925718104	38791.54073259718
0.0005807996926647825	799732.2832504287	36647.72749938678
0.0005909334414648986	745885.7971008747	34281.31154565833
0.0006036451595030154	692416.8947533669	32252.97812651746
0.0006164012601286922	637553.2916566993	31130.94749016871
0.0006266415303937507	599828.4620693011	30291.74697235375
0.000636912037734058	566660.5939164722	28881.31058062996
0.0006497941302636418	529183.0792720645	27384.90927160433
0.00066272004736758	489113.505209388	26575.9960534354
0.0006730957364593853	463796.0733451452	25944.89765351307
0.0006835013002626132	444178.8181325883	24673.37827045758
0.0006965516988341839	411706.2338950179	22935.96124659546
0.0007096454208435855	385291.9724520408	20991.49811261317
0.00072278850661188	362830.3580755543	18245.40859405903
0.000749240478121296	336399.4219546765	14378.99425143351
0.0007704767522828085	310215.1854541441	10442.47916274406
0.0007758123728946834	310035.4302804579	7707.220511866883
0.0007811552952293961	301749.2207579367	6156.240351292628
0.000789184263128812	287968.8414153621	5085.794548969034
0.0008026022717385521	272325.168930839	4286.699614138772
0.0008160626559357883	262464.3792192814	3816.002359660231
0.0008295713496332024	246783.2583396327	3553.428501245461
0.0008458395996039482	234891.1823977663	3387.663775576436
0.0008594445423579093	224388.2429319025	3263.450982971254
0.0008730974312905461	216094.5605265034	3132.422184821825
0.0008895382915546304	204744.5324068811	3012.142584645188
0.0009032867316675272	195564.3826607659	2890.057972873341
0.0009170827827237497	184903.3024712884	2707.566947576945
0.0009336950460257287	174293.7912711537	2497.668559728477
0.0009503712930810675	163468.5148875518	2333.562820151881
0.000967111371462218	155848.6726141124	2214.685539711729
0.0009839151330392612	146540.7640402383	2107.5232717844
0.001000782433822746	137547.0358444333	2000.457868000807
0.001017713133815214	128582.8429293291	1896.822455506869
0.001034707096869322	121081.1509239093	1800.02213163922
0.001051764190553225	114044.6848137169	1708.290287396659
0.001068884286023004	106705.5410345481	1620.121215810478
0.001086067257899914	100234.7310286946	1537.979160936054
0.001103312984154259	94728.80081375805	1462.787111112419
0.001120621345993527	88567.55068094717	1390.08445237825
0.001137992227756489	82942.20220185567	1310.213147472131
0.001155425516813439	78216.46692946229	1220.514351951267
0.001175845098607827	72948.23936562601	1140.405324366493
0.001196345275422127	67868.75738523394	1086.872595739979
0.001213985812331659	64029.28780169195	1042.292938309424
0.001231688301211152	60338.76506864512	983.9632427936581
0.001252421375617094	56895.2435663978	920.1002541662401
0.001273234487048237	53473.04461503459	867.0570692395996
0.001294135485351822	50110.0574664271	824.6026626347266
0.001315116244913946	47524.2282936314	786.2056623112868
0.001336184596843306	44721.12549070262	749.5413305133719
0.001357332450071774	41755.17521870819	715.0598048714487
0.001378567617972724	39642.99003475581	681.6716644366604
0.00139988204199693	37214.76258275055	644.5397492879506
0.001421283518735513	35309.77356981341	602.7990198332482
0.001445841684761492	32836.72390736116	567.1554191874834
0.001470508054627245	30772.39900082413	545.7502431095654
0.001492177790517364	29484.60591147041	528.0782354613884
0.001513934066308496	27858.64173881909	501.0954008750707
0.00153889714869608	26410.88833813971	469.3816849361345
0.001563967833779011	24636.65559336799	443.4441917265558
0.00158914597333821	23280.06363852725	424.0944848686441
0.001614431423922457	22272.16198119825	407.3741670317306
0.001639824046691169	21019.03379525591	391.8078534573314
0.001665323707266911	19744.53326977605	377.4881440749982
0.001690930275593115	18946.48244364331	364.1151408674068
0.001716643625798301	17798.67609812869	351.2664830506133
0.001742463636066003	16836.25761643451	338.4479614328209
0.001768390188509714	16292.5170733057	323.8869494870727
0.00179442316905403	15298.23348457339	306.9512680558038
0.001823839838715797	14450.73370123792	291.424843710912
0.001853385937092666	13650.5201792886	279.8004116910205
0.001879764065069483	13016.33822184858	268.5801188663204
0.001909568618759266	12161.56817582895	255.3620533672938
0.00193950220847039	11385.75436087656	242.4623888160499
0.001969574624125151	10713.4667944495	231.3515271596552
0.001999775827977407	10150.93844833805	221.2010075228321
0.002030115600879357	9360.529113168706	211.4730283350022
0.002060583932433055	8979.667087711992	201.8140268723939
0.002091190595220288	8638.797258988887	192.3993442240847
0.002125351568370656	7884.263312237083	184.6159575082746
0.002156234549730979	7640.745600153205	178.1669184570289
0.002187255527665573	7250.759668776215	170.9972884870985
0.002221876494509722	6910.582238110257	163.4247791657882
0.002256661499849139	6646.288868101493	157.1788891391612
0.002291610423926904	6326.254998910916	152.083218528842
0.002326723152458816	5986.97446637096	147.1375174092693
0.002361999576466031	5669.119115969943	142.1814327727993
0.002397439592111225	5415.438950919809	137.4061275394981
0.00243304310054602	5153.823910063152	132.8012879214852
0.002468810007759804	4846.704157851967	128.1609412959586
0.002504740224437796	4639.5453456299	122.946576857631
0.00254083366582411	4413.549763135091	116.9825921427579
0.00258072786958746	4070.356511409729	111.5197373895263
0.002620813398335016	3864.162021320179	107.5258572017535
0.002657428639985892	3746.334923081618	104.0354634222584
0.002697896556403305	3532.757201127456	100.3008905432471
0.002738555546105683	3382.664720062885	96.87454320889518
0.002779417470745861	3200.253718263377	93.87463263514363
0.002820470322428689	3054.023063364687	90.76402893103601
0.002861725964647432	2975.593080215269	87.56539778620005
0.002906953272722818	2779.676328699612	84.75757187652241
0.00294861430305842	2661.028557068123	82.05479574404015
0.002990477941661659	2497.115785979677	78.80206775719145
0.003036368337116116	2402.483354483632	75.3621082686966
0.00308249264939757	2284.239422146496	72.34085433407554
0.003128850829188084	2177.966567247386	69.54623326185384
